"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Sox2",3.11227178350352e-11,-0.380088386993689,0.431,0.508,7.9618136765587e-07,"Sox2"
"Hoxa1",1.20357769877777e-10,-0.493724787663034,0.432,0.48,3.07899246901328e-06,"Hoxa1"
"Pkdcc",1.64784341838925e-10,-0.31667796399094,0.545,0.627,4.21551303292337e-06,"Pkdcc"
"Epha5",1.84988428449065e-10,0.543336551901029,0.262,0.195,4.73237397658397e-06,"Epha5"
"Myc",2.89475819732124e-10,-0.272465377869392,0.454,0.516,7.4053704203872e-06,"Myc"
"Hes5",3.70515269943289e-10,-0.499991067364029,0.21,0.279,9.47852163568923e-06,"Hes5"
"Kitl",3.73337243428748e-10,0.366666664246186,0.345,0.276,9.55071336139424e-06,"Kitl"
"Cnn2",5.43840740724004e-10,-0.440945476093897,0.472,0.534,1.39125338292015e-05,"Cnn2"
"Sox3",2.07230484902675e-09,-0.377483526481483,0.338,0.39,5.30137026478024e-05,"Sox3"
"Aplnr",4.13645187453487e-09,-0.279812800718383,0.138,0.198,0.000105818711854351,"Aplnr"
"Krt8",4.16914029689934e-09,-0.42400740510175,0.497,0.59,0.000106654947075279,"Krt8"
"Smarcd3",4.39813147559183e-09,-0.331398882623244,0.181,0.247,0.00011251299940859,"Smarcd3"
"Foxd1",8.57840220841766e-09,0.326693747289495,0.295,0.227,0.000219452685295741,"Foxd1"
"Cfc1",1.38228298680206e-08,-0.250762845103751,0.129,0.185,0.000353615633683704,"Cfc1"
"Hoxb9",1.48585820716539e-08,0.3367164663977,0.317,0.255,0.00038011224655705,"Hoxb9"
"Igfbp4",4.99832900892051e-08,-0.337161852634632,0.877,0.899,0.00127867252706204,"Igfbp4"
"Pdgfrb",8.88745955581748e-08,-0.7080158831846,0.209,0.26,0.00227358990356923,"Pdgfrb"
"Sfrp5",1.88897759627798e-07,-0.28571228231594,0.129,0.183,0.00483238248679833,"Sfrp5"
"Gyg",7.51538388794583e-07,-0.309303695795638,0.549,0.586,0.019225855062143,"Gyg"
"Actc1",1.10426455393739e-06,-0.275720985896362,0.119,0.169,0.0282492958188262,"Actc1"
